,x,y
0,0.0,2.819329688155579
1,0.20833333333333334,3.0844276856509953
2,0.4166666666666667,2.8646900965328035
3,0.625,3.6502823264766384
4,0.8333333333333334,3.6218463751149303
5,1.0416666666666667,4.36163251011706
6,1.25,3.2949712345645796
7,1.4583333333333335,2.874443904266148
8,1.6666666666666667,3.2294177913788014
9,1.875,3.226670285263432
10,2.0833333333333335,3.6191714505024173
11,2.291666666666667,4.406314589929815
12,2.5,3.9167324653762035
13,2.7083333333333335,2.9689919203480564
14,2.916666666666667,4.380998855614016
15,3.125,4.720026766912861
16,3.3333333333333335,4.349721369255972
17,3.541666666666667,4.325724827236762
18,3.75,3.8749372404309685
19,3.9583333333333335,4.3782313325450355
20,4.166666666666667,5.229618322995987
21,4.375,4.58889657042534
22,4.583333333333334,4.987667030993811
23,4.791666666666667,5.332758812363432
24,5.0,4.269504588923617
